generation,chromosome,fitness
0,502976,147
0,798260,159
0,364514,96.0
0,107120,89.0
0,184286,146
0,209789,80
0,1488,81.0
0,227676,138
0,659068,110.0
0,569871,198
0,689331,90
0,813785,88
0,992718,71.0
0,838979,75.0
0,481239,84
0,811748,81
0,787929,122
0,218522,151
0,622917,153
0,879663,80
0,421444,119
0,962211,65
1,984537,110.0
1,102810,82.0
1,792026,38.0
1,218586,108
1,21914,172.0
1,217430,105
1,804314,125.0
2,984537,139
2,787933,181.0
2,21914,113.0
2,1000922,97.0
2,1000922,132
2,804313,147.0
2,1000858,142.0
3,804249,64
3,1000601,176
3,804249,143
3,787932,116
3,984473,179
3,787929,93
3,804250,114
3,804313,143
4,1000601,72
4,984473,178
4,984473,108
4,1000857,84
4,803993,91
4,787865,58
4,1000857,56
4,984473,99
4,804249,107.0
5,787865,156
5,918937,145
5,1000857,126
5,984473,164.0
5,279961,155
5,804249,131
5,984473,100.0
6,1000857,52.0
6,984473,125.0
6,984473,134.0
6,1000857,157.0
7,984473,129.0
